SYM;RIC;DES;IQUO;BBG_parsekey;FIGI;JPM_DQ;CTY;WBK_GDP_PPP;GDP_PER_CAP;REER;PPP;IMF_GDP_PPP;TBAL;IRS_3MTH;EQT_IDX_USD;GDP;INFL;EHPI_INFL;XRPT;IMPR;GEO1;GEO2;TRD_YES;NDF;TRD_TIME;GEO3;DBFXUCCY;TBAL_CUR;TBAL_QUOTE_UNITS;JPM_CCY;EQT_IDX_LOC;FRD_1M;CRI;FRD_I1M;SWP_1M;CESI
AUDUSD Curncy;AUD=;Australian Dollar;FALSE;AUDUSD BGN CURNCY;;AUD;AU;PPPGGDAU Index;WBGDPAU Index;JBDCAUD Index;IPPPAUS Index;IPPGAUS Index;AUITGSB Index;ADBB3M Curncy;NDDLAS Index;AUGDPC Index;AUCPIYOY Index;EHPIAUY Index;AUITEXP Index;AUITIMP Index;DEV;OCEANIA;YES;DELIV;15:00 UTC;OC;;AUD;MILLIONS;AUD;AS51 Index;AUD1M Curncy;AUDUSDCR Curncy;AUDI1M Curncy;ADSWAP1Q Curncy;CESIAUD Index
BRLUSD Curncy;BRL=;Brazil Real;FALSE;USDBRL BGN CURNCY;;BRL;BR;PPPGGDBR Index;WBGDPBR Index;JBDCBRL Index;IPPPBRA Index;IPPGBRA Index;BZTBBALM Index;BCNI3M Curncy;NDLEBRAF Index;BZGDGDPQ Index;BZIIPCY Index;EHPIBRY Index;BZTBEXPM Index;BZTBIMPM Index;EME;LATAM;YES;NDF;15:00 UTC;SA;;USD;MILLIONS;BRL;IBOV Index;BCN1M Curncy;BRLUSDCR Curncy;BCNI1M Curncy;BCSFLPDV Curncy;CESIBRL Index
CADUSD Curncy;CAD=;Canadian Dollar;FALSE;USDCAD BGN CURNCY;;CAD;CA;PPPGGDCA Index;WBGDPCA Index;JBDCCAD Index;IPPPCAN Index;IPPGCAN Index;CATBTOTB Index;CADI3M Curncy;NDDLCA Index;WGDPCANA Index;CACPIYOY Index;EHPICAY Index;CATBTOTE Index;CATBTOTI Index;DEV;NAMERIC;YES;DELIV;15:00 UTC;NAM;;CAD;BILLIONS;CAD;SPTSX Index;CAD1M Curncy;CADUSDCR Curncy;CADI1M Curncy;CDSO1 Curncy;CESICAD Index
CLPUSD Curncy;CLP=;Chilean Peso;FALSE;USDCLP BGN CURNCY;;CLP;CL;PPPGGDCL Index;WBGDPCL Index;JBDCCLP Index;IPPPCHL Index;IPPGCHL Index;CHTBBALM Index;CHOVCHOV Index;NDELSCH Index;CLGDCURR Index;CNPINSYO Index;EHPICLY Index;CHTBEXPM Index;CHTBIMPM Index;EME;LATAM;YES;NDF;15:00 UTC;SA;;USD;MILLIONS;CLP;IPSA Index;CHN+1M Curncy;CLPUSDCR Curncy;CHNI1M Curncy;CHSWP1 Curncy;CESICLP Index
CNHUSD Curncy;CNH=;Chinese Yuan (Offshore);FALSE;USDCNH BGN CURNCY;;CNH;CN;PPPGGDCN Index;WBGDPCN Index;JBDCCNH Index;IPPPCHN Index;IPPGCHN Index;CNFRBAL$ Index;CNRR007 Index;NDELCHF Index;GDPOTTL Index;CNCPIYOY Index;EHPICNY Index;CNFREXP$ Index;CNFRIMP$ Index;EME;CHINA;YES;DELIV;15:00 UTC;CH;;USD;BILLIONS;CNH;SHSZ300 Index;CNH1M Curncy;CNHUSDCR Curncy;CNHI1M Curncy;CCSWO1 Curncy;CESICNH Index
COPUSD Curncy;COP=;Colombian Peso;FALSE;USDCOP BGN CURNCY;;COP;CO;PPPGGDCO Index;WBGDPCO Index;JBDCCOP Index;IPPPCOL Index;IPPGCOL Index;COTRBALM Index;CORRRMIN Index;NDELSCO Index;COCUPIB Index;COCUPIB Index;EHPICOY Index;COTREXPM Index;COTRIMPM Index;EME;LATAM;YES;NDF;15:00 UTC;SA;;USD;MILLIONS;COP;COLCAP Index;CLN+1M Curncy;COPUSDCR Curncy;CLNI1M Curncy;CLSWIB1 Curncy;CESICOP Index
CZKUSD Curncy;CZK=;Czech Koruna;FALSE;USDCZK BGN CURNCY;;CZK;CZ;PPPGGDCZ Index;WBGDPCZ Index;JBDCCZK Index;IPPPCZE Index;IPPGCZE Index;CZTBAL Index;PRIB03M Index;NDELSCZ Index;CZGDPC Index;CZCPYOY Index;EHPICZY Index;CZTBEX Index;CZTBIM Index;EME;EUROPE;YES;DELIV;15:00 UTC;EU;;CZK;BILLIONS;CZK;PX Index;CZK1M Curncy;CZKUSDCR Curncy;CZKI1M Curncy;CKSW1 Curncy;CESICZK Index
DKKUSD Curncy;DKK=;Danish Krone;FALSE;USDDKK BGN CURNCY;;DKK;DK;PPPGGDDK Index;WBGDPDK Index;JBDCDKK Index;IPPPDNK Index;IPPGDNK Index;DETBAL Index;CIBO03M Index;NDDLDE Index;WGDPDENM Index;DNCPIYOY  Index;EHPIDKY Index;DETBEX Index;DETBIM Index;DEV;EUROPE;YES;DELIV;15:00 UTC;EU;;DKK;BILLIONS;DKK;KFX Index;DKK1M Curncy;DKKUSDCR Curncy;DKKI1M Curncy;DKSW1 Curncy;CESIDKK Index
HUFUSD Curncy;HUF=;Hungarian Forint;FALSE;USDHUF BGN CURNCY;;HUF;HU;PPPGGDHU Index;WBGDPHU Index;JBDCHUF Index;IPPPHUN Index;IPPGHUN Index;HUTRBAL Index;BUBOR03M Index;NDELSHG Index;HUGQT Index;HUCPIYY Index;EHPIHUY Index;HUFTREXP Index;HUTRIMP Index;EME;EUROPE;YES;DELIV;15:00 UTC;EU;;EUR;MILLIONS;HUF;BUX Index;HUF1M Curncy;HUFUSDCR Curncy;HUFI1M Curncy;HFSW1 Curncy;CESIHUF Index
IDRUSD Curncy;IDR=;Indonesian Rupiah;FALSE;USDIDR BGN CURNCY;;IDR;ID;PPPGGDID Index;WBGDPID Index;JBDCIDR Index;IPPPIDN Index;IPPGIDN Index;IDBALTOL Index;JIIN3M Index;NDELINF Index;IDGRP Index;IDCPIY Index;EHPIIDY Index;IDEXP Index;IDIMPTL Index;EME;ASIA;YES;NDF;07:55 UTC;AS;;USD;MILLIONS;IDR;JCI Index;IHN+1M Curncy;IDRUSDCR Curncy;IHNI1M Curncy;IDRSSS1 Curncy;CESIIDR Index
ILSUSD Curncy;ILS=;Israeli Shekel;FALSE;USDILS BGN CURNCY;;ILS;IL;PPPGGDIL Index;WBGDPIL Index;JBDCILS Index;IPPPISR Index;IPPGISR Index;ISTBAL Index;TELBOR03 Index;NDELIS Index;ISGOPN Index;ISCPIYYN Index;EHPIILY Index;ISTBEX Index;ISTBIM Index;EME;MEAST;YES;DELIV;15:00 UTC;ME;;USD;MILLIONS;ILS;TA-35 Index;ILS1M Curncy;ILSUSDCR Curncy;ILSI1M Curncy;ISSW1 Curncy;CESIILS Index
JPYUSD Curncy;JPY=;Japanese Yen;FALSE;USDJPY BGN CURNCY;;JPY;JP;PPPGGDJP Index;WBGDPJP Index;JBDCJPY Index;IPPPJPN Index;IPPGJPN Index;JNTBAL Index;JY0003M Index;NDDLJN Index;JGDOSGDP Index;JNCPIYOY Index;EHPIJPY Index;JNTBEXP Index;JNTBIMP Index;DEV;JAPAN;YES;DELIV;15:00 UTC;JP;;JPY;BILLIONS;JPY;TPX Index;JPY1M Curncy;JPYUSDCR Curncy;JPYI1M Curncy;JYSO1 Curncy;CESIJPY Index
KRWUSD Curncy;KRW=;Korean Won;FALSE;USDKRW BGN CURNCY;;KRW;KR;PPPGGDKR Index;WBGDPKR Index;JBDCKRW Index;IPPPKOR Index;IPPGKOR Index;KOTRBAL Index;KWCDC Curncy;NDELSKO Index;KOGCGDP Index;KOCPIYOY Index;EHPIKRY Index;KOEXTOT Index;KOIMTOTO Index;EME;ASIA;YES;NDF;06:25 UTC ;AS;;USD;MILLIONS;KRW;KRX100 Index;KWN+1M Curncy;KRWUSDCR Curncy;KWNI1M Curncy;KRWSQQ1 Curncy;CESIKRW Index
MYRUSD Curncy;MYR=;Malaysian Ringgit;FALSE;USDMYR BGN CURNCY;;MYR;MY;PPPGGDMY Index;WBGDPMY Index;JBDCMYR Index;IPPPMYS Index;IPPGMYS Index;MAETTRBL Index;KLIB3M  Index;NDDLMAF Index;MAGRTOTL Index;MACPIYOY Index;EHPIMYY Index;MAETEXP Index;MAETIMP Index;EME;ASIA;NOP;NDF;15:00 UTC;AS;;MYR;BILLIONS;MYR;FBMKLCI Index;MRN+1M Curncy;MYRUSDCR Curncy;MRNI1M Curncy;MRSWQO1 Curncy;CESIMYR Index
MXNUSD Curncy;MXN=;Mexican Peso;FALSE;USDMXN BGN CURNCY;;MXN;MX;PPPGGDMX Index;WBGDPMX Index;JBDCMXN Index;IPPPMEX Index;IPPGMEX Index;MXTBBAL Index;MPTBC Curncy;NDELMXF Index;MXGRGDP Index;MXCPYOY Index;EHPIMXY Index;MXTBBEXP Index;MXTBBIMP Index;EME;LATAM;YES;DELIV;15:00 UTC;SA;;USD;MILLIONS;MXN;MEXBOL Index;MXN1M Curncy;MXNUSDCR Curncy;MXNI1M Curncy;MPSWF1 Curncy;CESIMXN Index
